,fold,clf,r2,adjusted_r2,rmse,mae
-1,0,LinearRegression,0.1250923975319297,1.47511538677074,354.55325386093233,263.7863656202571
0,0,LassoRegression,-0.09831188883411324,1.596434270757598,397.24937499776644,300.530855818957
1,0,RidgeRegression,0.12346556271037978,1.4759988334950256,354.8827353378037,262.97657467577005
2,0,RandomForest,0.007012894926477942,1.5392380305697273,377.72191656271053,279.3774698795181
3,1,LinearRegression,0.2576702863730199,1.403119447135181,316.6582891817048,244.1542134235676
4,1,LassoRegression,-0.06091986415672945,1.576128667952661,378.55913382675834,284.455081730706
5,1,RidgeRegression,0.26880907155861855,1.397070570411876,314.273553446875,242.71855844426668
6,1,RandomForest,0.0677195030107316,1.5062715281663577,354.86710066238896,261.6980722891566
7,2,LinearRegression,0.10017364663327277,1.4886474236825935,316.40532260158784,252.36441121862268
8,2,LassoRegression,-0.3272747119685018,1.72077169789018,384.277393705614,306.9659818996455
9,2,RidgeRegression,0.12006214953416017,1.4778470446238336,312.88909428274957,249.3316664352257
10,2,RandomForest,0.02947212295699586,1.5270416285928896,328.6006617461383,254.84253012048194
