clf,fold,r2,adjusted_r2,rmse,mae
LassoRegression,1.0,-0.16216882165311483,1.6311115455334797,386.6953008433796,297.31730648310287
LinearRegression,1.0,0.16097877684607412,1.4556274191961716,329.2056218814083,253.4349967541491
RandomForest,1.0,0.03473484029806847,1.524183729109658,353.72989299041257,265.30602409638556
RidgeRegression,1.0,0.17077892793438618,1.4503054828435786,327.3484610224761,251.67559985175413
