clf,fold,r2,rmse,mae
LassoRegression,1.0,0.14420300669540828,9.576846294723277,11.594409476315136
LinearRegression,1.0,0.08465915217823124,21.952057608563834,9.859764957145455
RandomForest,1.0,0.030693569548568517,24.580365124537035,12.659139166126135
RidgeRegression,1.0,0.08491364789922017,23.855426601678413,10.330407702738684
